SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Brailsford CofE Primary School	107	17.9	31.4	25
Bramley Vale Primary School	120	15.0	30.5	14
Brampton Primary School	272	16.2	29.2	20
Brassington Primary School	63	15.8	25.5	51
Breadsall CofE VC Primary School	101	17.7	29.9	0
Brimington Junior School	299	16.9	29.5	13
Brockley Primary School	135	15.3	28.3	19
Brockwell Junior School	233	16.6	30.2	14
Brookfield Primary School	159	14.7	27.4	33
Brooklands Primary School	440	15.5	28.3	15
Burbage Primary School	328	16.9	29.9	9
Buxton Junior School	174	15.8	27.6	29
Buxworth Primary School	88	18.1	31.5	0
Calow CofE VC Primary School	214	16.3	28.4	15
Camms CofE (Aided) Primary School	226	16.7	29.6	11
Castle View Primary School	143	13.5	25.1	31
Castleton CofE Primary School	38	14.9	29.3	8
Cavendish Junior School	76	14.3	26.9	19
Chapel-en-le-Frith CofE VC Primary School	452	14.5	25.5	41
Charlesworth Voluntary Controlled Primary School	94	16.1	27.9	15
Chaucer Junior School	202	15.5	29.3	19
Chinley Primary School	201	18.1	32.8	4
Christ Church CofE Primary School	138	15.7	29.8	32
Christ The King Catholic Primary	227	17.6	29.7	7
Church Broughton CofE Primary School	101	15.9	31.0	38
Clifton CofE Primary School	103	15.8	28.9	0
Clowne Junior School	294	16.0	28.6	17
Codnor Community Primary School Church of England Controlled	276	15.9	28.9	18
Coppice Primary School	248	15.8	29.9	48
Cotmanhay Junior School	204	13.3	26.3	41
Coton-in-the-Elms CofE Primary School	124	16.5	30.4	24
Creswell Junior School	177	16.4	29.3	34
Crich Carr CofE Primary School	57	16.6	31.3	28
Crich Junior School	49	16.4	31.2	20
Cromford CofE Primary School	33	15.1	27.5	33
Curbar Primary School	77	18.2	32.0	8
The Curzon CofE Primary School	136	18.2	30.5	6
Cutthorpe Primary School	101	16.7	30.0	12
Dallimore Primary School	267	14.9	28.8	23
Darley Churchtown CofE Primary School	72	15.3	28.7	0
Darley Dale Primary School	192	18.0	32.1	10
Deer Park Primary School	333	16.3	29.7	7
Denby Free CofE VA Primary School	104	15.8	29.2	7
Dinting Church of England Voluntary Aided Primary School	103	14.3	30.1	36
Dovedale Primary School	292	16.1	29.2	6
Doveridge Primary School	90	14.7	26.0	17
Draycott Community Primary School	231	15.1	28.5	27
Dronfield Junior School	353	17.4	30.5	13
Dronfield Stonelow Junior School	139	17.6	30.7	13
Duckmanton Primary School	173	14.2	28.0	41
Duffield the Meadows Primary School	292	17.5	30.9	14
Duke of Norfolk CofE Primary School	313	16.4	29.7	12
Dunston Primary and Nursery School	285	15.8	28.0	27
Eckington Junior School	170	16.4	27.6	14
Egginton Primary School	63	17.7	29.4	0
English Martyrs' Catholic Primary	274	17.7	32.3	3
Etwall Primary School	272	16.4	29.0	11
Eureka Primary School	137	15.9	28.5	30
Fairfield Endowed CofE (C) Junior School	177	18.0	27.7	22
Fairmeadows Foundation Primary School	241	13.5	29.5	36
Findern Primary School	127	14.0	28.2	37
Firfield Primary School	405	15.8	29.1	15
Fitzherbert CofE (Aided) Primary School	47	13.3	27.3	66
Fritchley CofE (Aided) Primary School	77	14.6	25.5	33
Furness Vale Primary School	90	14.3	28.5	21
Gamesley Community Primary School	265	13.3	28.8	37
Glebe Junior School	368	16.3	28.0	29
Gorseybrigg Primary School and Nursery	219	16.7	29.2	13
Granby Junior School	322	16.6	29.0	20
Grange Primary School	469	16.5	28.8	20
Grassmoor Primary School	220	12.9	28.8	47
Great Hucklow CE Primary	47	13.8	27.5	17
Grindleford Primary School	62	17.0	31.3	38
Hady Primary School	232	15.9	31.3	16
Hague Bar Primary School	84	15.1	27.7	22
Hallam Fields Junior School	233	16.8	28.8	6
Harpur Hill Primary School	313	16.2	28.8	6
Harrington Junior School	222	15.0	25.4	14
Hartshorne CofE Primary School	99	17.0	30.9	33
Hasland Junior School	372	15.9	27.2	16
Hathersage St Michael's CofE (Aided) Primary School	163	17.3	30.5	14
Hayfield Primary School	184	16.9	30.3	15
Heage Primary School	171	17.4	28.0	0
Heath Fields Primary School	222	14.9	28.6	27
Heath Primary School	289	15.2	28.9	35
Herbert Strutt Primary School	194	17.3	29.6	24
Highfield Hall Primary School	354	16.0	27.9	4
Hilton Primary School	808	16.8	29.8	10
Hodthorpe Primary School	101	15.7	25.9	36
Holbrook CofE Primary School	145	17.7	29.2	12
Hollingwood Primary School	315	14.8	28.6	24
Holme Hall Primary School	117	15.0	26.3	38
Holmgate Primary School and Nursery	205	14.5	26.5	42
Horsley CofE (Controlled) Primary School	90	16.4	29.1	26
Horsley Woodhouse Primary School	124	16.4	27.6	13
Howitt Primary Community School	436	13.9	25.8	22
Hulland CofE Primary School	53	16.9	28.8	33
Hunloke Park Primary School	202	16.1	29.5	8
Immaculate Conception Catholic Primary	203	17.9	30.3	15
Inkersall Primary School	431	15.3	27.0	14
Ironville and Codnor Park Primary School	102	16.3	27.7	18
Kensington Junior School	212	16.3	28.8	14
Kilburn Junior School	122	16.6	29.1	24
Killamarsh Junior School	175	15.7	27.8	17
Kirk Langley CofE Primary School	65	16.0	27.8	33
Kniveton CofE Primary School	79	15.5	31.6	18
Ladywood Primary School	301	14.7	28.2	17
Langley Mill Junior School	226	15.1	26.6	21
Langwith Bassett Primary School	93	13.2	26.4	26
Lea Primary School	100	17.0	31.4	27
Leys Junior School	152	15.6	28.6	33
Linton Primary School	267	15.2	27.8	19
Little Eaton Primary School	225	17.0	29.5	14
Litton CofE Primary School	43	18.9	35.0	0
Long Lane Church of England Primary School	48	14.3	29.0	20
Long Row Primary School	312	16.1	28.4	14
Longford CofE Primary School	66	16.2	30.3	33
Longmoor Primary School	330	15.3	27.9	19
Longstone CofE Primary School	138	17.4	30.4	5
Loscoe CofE (C) Primary School	155	14.9	28.4	18
Marlpool Junior School	158	16.6	27.6	14
Marsh Lane Primary School	125	15.6	31.0	0
Marston Montgomery Primary School	50	14.6	28.1	58
Mary Swanwick Community Primary School	246	14.0	27.8	20
Matlock Bath Holy Trinity CofE Controlled Primary School	56	19.5	31.7	22
Melbourne Junior School	243	18.3	31.6	6
Middleton Community Primary School	80	16.3	29.3	18
Milford Primary School	75	15.5	26.6	13
Model Village Primary School	208	12.0	28.4	23
Monyash CofE Primary School	47	16.4	30.0	0
Morley Primary School	77	16.6	30.9	13
Morton Primary School	91	17.5	28.7	12
Mundy CofE Junior School	162	16.9	29.8	12
Netherseal St Peter's CofE (C) Primary School	69	15.9	28.9	16
New Bolsover Primary and Nursery School	260	15.2	26.8	10
New Mills Primary School	186	15.5	29.7	15
New Whittington Community Primary School	297	15.8	28.7	28
Newbold CofE VA Primary School	179	11.8	27.5	50
Newhall Community Junior School	250	16.8	27.2	28
Newton Primary School	106	15.9	27.7	27
Newtown Primary School	89	16.2	28.5	31
Norbriggs Primary School	220	16.2	27.9	23
Norbury CofE Primary School	59	17.2	28.4	18
North Wingfield Primary and Nursery School	249	14.1	27.3	27
Northfield Junior School	130	17.5	30.6	18
Old Hall Junior School	249	17.9	30.6	7
Osmaston CofE (VC) Primary School	125	17.4	31.5	11
Overseal Primary School	204	15.9	29.9	8
Padfield Community Primary School	118	16.3	30.2	7
Palterton Primary School	83	13.8	27.5	34
Park House Primary School	219	16.0	29.8	25
The Park Junior School	210	14.0	30.3	33
Parkside Junior School	299	16.4	28.1	9
Peak Dale Primary School	75	16.8	29.2	18
Peak Forest Church of England Voluntary Controlled Primary School	42	16.3	26.4	29
Pennine Way Junior Academy	311	15.3	27.4	42
Pilsley CofE Primary School	91	16.1	26.9	27
Pilsley Primary School	183	17.0	32.5	16
Pinxton Kirkstead Junior School	196	16.4	28.1	16
Poolsbrook Primary School	106	15.0	28.7	10
Pottery Primary School	343	16.3	29.1	25
Redhill Primary School	219	17.3	31.0	0
Renishaw Primary School	183	18.3	32.5	0
Repton Primary School	252	17.8	31.7	12
Richardson Endowed Primary School	176	17.1	29.9	9
Riddings Junior School	178	15.5	27.6	18
Ridgeway Primary School	202	16.4	30.1	18
Ripley Junior School	260	15.3	28.3	28
Risley Lower Grammar CofE Primary School	129	17.2	30.3	12
Rosliston CofE Primary School	86	16.8	28.6	16
Rowsley CofE (Controlled) Primary School	73	16.2	28.1	14
St Andrew's CofE Junior School	188	16.4	27.6	20
St Andrew's CofE Methodist (Aided) Primary School	190	17.9	29.7	10
St Andrew's CofE Primary School	85	15.9	28.9	6
St Anne's Catholic Primary School	298	17.0	29.4	5
St Anne's CofE Primary School	134	17.2	30.7	33
St Charles's Catholic Primary	212	16.5	29.2	9
St Elizabeth's Catholic Primary School	201	15.9	31.7	24
St George's CofE Controlled Primary School	199	15.4	29.9	28
St George's CofE Primary School (VA)	129	14.2	26.0	35
St Giles CE VA Primary School	281	15.7	27.8	26
St Giles CofE (Aided) Primary School	121	17.8	28.4	28
St James' CofE Controlled Primary School	311	16.2	29.6	18
St John's CofE Primary School	399	15.9	28.4	24
St John's CofE Primary School	450	16.2	29.0	8
St Joseph's Catholic and CofE (VA) Primary School	114	16.5	29.4	0
St Joseph's Catholic Primary	162	15.9	27.6	14
St Joseph's Catholic Primary	164	13.8	30.5	27
St Laurence CofE VA Primary School	179	14.5	28.1	33
St Luke's CofE Primary School	170	15.2	26.8	11
St Mary's Catholic Primary	446	15.7	29.4	20
Saint Mary's Catholic Primary	149	15.3	27.7	4
St Mary's Catholic Primary	107	16.2	30.5	18
St Thomas Catholic Primary	249	16.6	30.0	8
Sale and Davys Church of England Primary School	111	17.7	31.4	27
Sandiacre Cloudside Junior School	219	16.3	28.5	8
Sawley Junior School	285	17.4	31.4	15
Scarcliffe Primary School	84	15.2	30.6	27
Scargill CofE (Aided) Primary School	340	14.4	28.4	14
Shardlow Primary School	88	17.2	29.7	20
Sharley Park Community Primary School	374	13.3	26.9	32
Shirland Primary School	146	16.7	28.8	14
Simmondley Primary School	302	16.4	29.3	8
Somerlea Park Junior School	173	13.3	25.6	6
South Darley CofE Primary School	43	15.7	30.5	17
South Wingfield Primary School	114	15.5	29.9	6
Spire Junior School	116	15.3	27.7	15
Springfield Junior School	185	15.5	25.6	33
Stanley Common CofE Primary School	74	16.4	28.0	16
Stanton Primary School	79	15.0	28.1	38
Staveley Junior School	121	15.3	27.6	30
Stenson Fields Primary Community School	299	16.7	28.7	11
Stonebroom Primary and Nursery School	149	15.6	27.3	20
Street Lane Primary School	69	16.7	27.7	22
Sudbury Primary School	45	18.9	30.8	0
Swanwick Primary School	410	15.1	28.4	10
Taddington and Priestcliffe School	52	18.3	29.5	0
Tansley Primary School	72	15.4	27.8	19
Taxal and Fernilee CofE Primary School	195	15.7	29.5	7
Temple Normanton Primary School	92	13.7	31.3	17
Thornsett Primary School	62	13.1	28.1	42
Tintwistle CofE (Aided) Primary School	111	15.1	27.6	18
Town End Junior School	181	16.6	29.6	15
Tupton Primary School	232	14.6	27.3	29
Turnditch CofE (Aided) Primary School	83	17.1	30.3	18
Unstone Junior School	50	15.5	26.7	28
Waingroves Primary School	190	16.3	26.7	30
Walton Holymoorside Primary School	401	17.5	30.2	10
Walton-on-Trent CofE School	104	15.1	25.9	36
Wessington Primary School	62	16.2	28.8	17
Westhouses Primary School	78	14.7	26.6	33
Weston-on-Trent CofE (VA) Primary School	112	15.5	29.3	33
Whaley Bridge Primary School	230	14.3	27.1	39
Whaley Thorns Primary School	162	13.7	30.2	40
Whitecotes Primary School	234	15.5	27.7	23
Whitwell Primary School	248	15.5	27.8	21
Wigley Primary School	51	17.6	31.3	14
William Gilbert Endowed Primary School	284	14.4	29.4	17
William Levick Primary School	172	16.9	30.1	8
William Rhodes Primary School	195	13.2	23.9	26
Willington Primary School	213	16.9	29.8	25
Wirksworth Junior School	144	16.6	28.3	19
Woodbridge Junior School	119	16.1	28.8	9
Woodville CofE Junior School	264	16.0	27.7	22
Youlgrave All Saints CofE Voluntary Aided Primary School	66	15.6	28.8	27
Allenton Community Primary School	307	13.8	24.4	37
Alvaston Junior School	303	15.6	26.9	17
Arboretum Primary School	432	12.1	28.0	25
Ash Croft Primary School	192	13.9	27.3	8
Ashgate Primary School	300	14.8	28.1	32
Asterdale Primary School	219	14.9	28.9	39
Beaufort Community Primary School	307	14.9	27.8	21
Becket Primary School	235	12.1	26.7	20
Bishop Lonsdale Church of England Aided Primary School and Nursery	243	14.0	25.9	35
Borrow Wood Primary School	429	15.2	26.4	22
Brackensdale Junior School	238	15.0	26.0	35
Breadsall Hill Top Junior School	210	14.7	29.6	16
Brookfield Primary School	229	15.7	28.8	16
Cavendish Close Junior School	318	15.0	27.8	20
Chaddesden Park Primary School	399	16.6	27.6	16
Chellaston Junior School	481	16.1	28.7	20
Cherry Tree Hill Primary School	505	16.0	28.3	9
Cottons Farm Primary School	133	12.9	24.5	30
Dale Community Primary School	565	14.5	26.5	17
Derwent Community School	210	15.1	26.3	38
Firs Estate Primary School	321	12.6	24.7	18
Gayton Community Junior School	351	16.6	29.2	20
Griffe Field Primary School	480	16.9	32.4	17
Hardwick Primary School	594	13.1	27.4	16
Homefields Primary School	290	16.9	32.1	25
Lakeside Community Primary School	501	13.8	26.4	26
Landau Forte Academy Moorhead	275	13.2	25.6	25
Lawn Primary School	408	17.4	30.1	6
Markeaton Primary School	313	15.9	29.6	17
Meadow Farm Community Primary School	228	14.0	27.8	31
Mickleover Primary School	379	16.0	29.7	24
Oakwood Junior School	348	15.4	28.4	13
Osmaston Primary School	537	12.5	24.4	33
Parkview Primary School	265	16.4	30.2	6
Pear Tree Community Junior School	358	12.5	22.7	50
Portway Junior School	290	15.9	29.6	19
Ravensdale Junior School	312	15.0	28.6	22
Redwood Primary School	521	14.0	26.2	37
Reigate Primary School	340	14.1	28.3	17
Roe Farm Primary School	359	12.3	31.0	19
St Alban's Catholic Primary School, Chaddesden, Derby	345	13.8	28.2	21
St George's Catholic Primary School	342	15.8	29.0	11
St James' Church of England Aided Junior School	290	14.9	25.5	33
St John Fisher, a Catholic Voluntary Academy	219	13.6	26.3	38
St Joseph's Catholic Primary School, Derby	353	15.1	27.5	13
St Mary's Catholic Primary School and Nursery	381	15.0	28.8	18
St Peter's Church of England Aided Junior School	239	16.6	28.5	15
St Werburgh's Church of England VA Primary School	304	15.2	28.6	21
Shelton Junior School	276	15.9	27.0	12
Silverhill Primary School	397	15.1	30.0	12
Springfield Primary School	166	15.3	27.8	23
Village Primary School	577	14.0	28.7	25
Walter Evans Church of England Aided Primary School	353	15.9	29.1	16
Wren Park Primary School	385	16.3	30.3	7
Wyndham Primary Academy	293	13.3	28.4	21
The Abbey CofE VA Primary School, Shaftesbury	186	15.2	30.2	16
All Saints Church of England Voluntary Controlled Primary School	77	14.6	28.6	21
Allenbourn Middle School	606	16.8	28.9	17
Archbishop Wake Church of England Primary School	295	14.6	28.1	33
Beechcroft St Pauls CofE VA Primary School	213	15.0	27.7	33
Bincombe Valley Primary School	282	15.2	28.0	46
Blandford St Mary Church of England Voluntary Aided Primary School	192	16.0	28.9	23
Bovington Middle School	159	15.5	27.5	34
Bridport Primary School	398	16.1	27.7	31
Bridport, St Mary's Church of England Primary School	168	15.7	28.0	43
Broadwindsor Church of England Voluntary Controlled Primary School	88	14.6	27.9	50
Buckland Newton Church of England School	81	17.2	30.8	16
Burton Bradstock Church of England Voluntary Controlled School	93	15.3	28.2	38
Burton Church of England Primary School	286	16.2	28.3	13
Charmouth Primary School	175	13.8	27.1	33
Chickerell Primary School	365	16.7	28.9	23
Christchurch Junior School	521	15.7	28.8	27
Conifers Primary School	387	15.3	27.8	40
Cranborne Middle School	385	17.0	30.0	11
Dorchester Middle School	612	16.3	27.5	33
Downlands Community School	253	16.9	29.0	26
The Dunbury CofE VC Primary School	112	17.1	30.2	20
Durweston CofE VA Primary School	134	16.2	27.9	35
Emmanuel Middle Church of England Voluntary Aided School	459	17.1	28.6	17
Ferndown Middle School	548	16.5	28.4	19
Gillingham Primary School	378	15.6	28.2	31
Hazelbury Bryan Primary School	89	14.0	27.0	10
Highcliffe St Mark Primary School	465	15.3	28.6	16
Holy Trinity CofE VC Primary School and Nursery Unit	697	15.8	27.8	29
Lockyer's Middle School	451	16.3	28.1	24
Loders CofE VC Primary School	79	15.4	29.9	27
Lytchett Matravers Primary School	439	15.8	29.0	19
Maiden Newton, Greenford Church of England Primary School	145	16.9	28.2	25
Marshwood Church of England Aided Primary School	60	16.4	30.2	30
Milldown Church of England Voluntary Controlled Primary School	190	14.3	27.8	33
Milton-on-Stour Church of England Primary School	120	17.5	30.4	24
Motcombe CofE VA Primary School	87	18.6	30.8	0
Mudeford Junior School	260	16.7	31.5	31
Okeford Fitzpaine Church of England Voluntary Aided School	61	12.9	22.8	55
Parrett and Axe Church of England Voluntary Aided Primary School	113	17.3	29.8	20
Portesham Church of England Primary School	68	16.0	28.7	13
Powerstock Church of England Voluntary Aided Primary School	55	14.9	27.8	11
The Priory Church of England Primary School	223	18.4	29.7	12
Radipole Primary School	410	16.3	29.1	23
St Andrew's Church of England Primary School, Fontmell Magna	167	15.6	27.1	25
St Andrew's Church of England Primary School, Yetminster	166	16.6	29.4	21
St Andrew's Church of England Voluntary Aided School, Preston, Weymouth	357	15.0	27.5	33
St Augustine's Catholic Primary School, Weymouth	200	15.2	29.7	21
St Catherine's Catholic Primary School, Wimborne	184	17.1	31.6	25
St Catherine's Roman Catholic School	158	16.4	29.0	38
St George's Church of England School, Bourton	112	15.1	29.8	23
St George's Community Primary School	421	15.5	27.5	19
St Gregory's Church of England Primary School, Marnhull	152	15.8	29.8	22
St John's Church of England Voluntary Aided School, Weymouth	203	14.1	29.0	29
St Joseph's Catholic Primary School, Christchurch	236	15.8	30.3	12
St Mary the Virgin CofE VA Primary School	207	16.6	30.4	27
St Mary's Catholic Primary School, Marnhull	82	16.3	27.3	9
St Mary's Church of England Middle School, Puddletown	482	16.4	28.2	22
St Mary's Church of England Primary School, Beaminster	165	11.1	24.2	56
St Mary's Church of England Voluntary Controlled Primary School, Bradford Abbas	110	15.4	28.2	27
St Michael's Church of England Voluntary Aided Middle School, Colehill	497	17.0	28.2	21
St Michael's Church of England Voluntary Aided Primary School, Lyme Regis	139	15.6	28.1	29
St Nicholas and St Laurence Church of England Primary School, Broadwey	201	15.4	26.9	24
St Nicholas Church of England Voluntary Aided Primary School, Child Okeford	144	17.0	30.6	14
St Osmund's Church of England Voluntary Aided Middle School, Dorchester	611	16.9	29.3	28
Salway Ash Church of England Voluntary Aided Primary School	114	16.1	30.4	47
Sandford Church of England Middle School	232	17.2	28.6	22
Shaftesbury Church of England Primary School	386	15.8	29.0	20
Sherborne Abbey Church of England Voluntary Controlled Primary School	235	15.5	28.8	26
Sherborne Primary School	301	15.9	29.4	27
Shillingstone Church of England Voluntary Aided Primary School	89	14.2	29.3	30
Somerford Primary Community School	431	13.6	25.8	52
Southill Primary School	212	16.8	29.5	21
Spetisbury CofE VA Primary School	169	18.7	31.6	12
Stalbridge Church of England Primary School	195	16.4	30.2	11
Sticklands Church of England Voluntary Aided Primary School	80	14.8	30.3	33
Swanage Middle School	214	16.4	26.4	36
Symondsbury Church of England Voluntary Aided Primary School	103	14.7	30.5	23
Thorncombe, St Mary's Church of England Voluntary Controlled Primary School	65	16.6	29.7	9
Thorner's Church of England School, Litton Cheney	73	15.0	28.3	41
Thornford Church of England Voluntary Aided Primary School	99	13.8	26.9	64
Trent Young's Endowed Church of England Voluntary Aided Primary School	119	17.7	30.0	19
Upton Junior School	377	15.4	29.0	12
Wareham Middle School	176	15.8	27.5	23
West Moors Middle School	190	15.8	27.8	33
William Barnes Primary School	183	15.0	29.2	32
Wyke Primary School	211	16.5	29.1	27
Wyke Regis Church of England Junior School	334	15.9	29.5	21
Baden-Powell and St Peter's Church of England Junior School	657	17.8	30.2	7
Bearwood Primary and Nursery School	224	16.3	29.4	19
Bishop Aldhelm's Church of England Voluntary Aided Primary School	519	15.7	28.0	18
Branksome Heath Junior School	479	15.5	26.9	25
Broadstone Middle School	646	18.0	28.7	13
Canford Heath Junior School	387	15.8	28.9	26
Hamworthy Park Junior School	326	15.6	28.3	37
Haymoor Junior School	327	15.0	26.9	25
Hillbourne School and Nursery	372	13.4	26.5	46
Longfleet Church of England Voluntary Controlled Primary School	531	15.7	28.6	29
Manorside Primary School	287	13.8	24.9	31
Oakdale Junior School	551	16.4	28.0	38
St Joseph's Catholic Primary School, Poole	356	13.8	26.4	34
Talbot Primary School	363	14.0	26.7	18
Turlin Moor Community School	301	14.7	25.6	36
Bethany Church of England Junior School	326	14.0	26.6	46
Christ The King Catholic Primary School	324	16.3	27.8	14
Corpus Christi Catholic Primary School	436	16.6	29.2	14
The Epiphany Church of England Primary School	422	16.7	29.5	10
Heathlands Primary School	223	12.3	27.3	47
Hill View Primary School	629	16.6	28.9	18
King's Park Primary School	484	14.7	27.3	22
Kingsleigh Primary School	502	13.8	27.4	36
Kinson Primary School	450	14.7	27.0	38
Malmesbury Park Primary School	694	16.0	26.9	22
Moordown St John's Church of England Primary School	415	16.1	29.1	22
Muscliff Primary School	481	16.3	28.7	20
Pokesdown Community Primary School	402	14.5	29.0	20
St James' Church of England Primary School	417	17.0	29.7	12
St Katharine's Church of England Primary School	435	17.5	30.2	29
St Luke's Church of England Primary School	418	15.9	28.1	15
St Mark's Church of England Aided Primary School	420	18.0	29.9	13
St Michael's Church of England Primary School	469	13.4	28.1	25
St Walburga's Catholic Primary School	451	17.2	30.8	12
Stourfield Junior School	464	16.4	27.9	19
Winton Primary School	580	16.0	28.7	21
All Saints' Catholic Voluntary Aided Primary School	140	16.2	30.4	17
Annfield Plain Junior School	115	16.4	29.5	31
Aycliffe Village Primary School	124	15.9	28.9	17
Bearpark Primary School	75	13.2	25.1	51
Belmont Cheveley Park Primary School	138	15.1	28.7	37
Belmont CofE (Controlled) Junior School	159	16.4	29.3	16
Benfieldside Primary School	303	13.1	27.6	48
Bishop Ian Ramsey CofE Primary School	177	15.4	29.0	38
Blackhall Colliery Primary School	262	14.4	27.9	30
Blessed John Duckett Roman Catholic Voluntary Aided Primary	93	13.8	27.1	9
Bloemfontein Primary School	113	13.3	27.8	44
Blue Coat CofE (Aided) Junior School	229	16.7	28.9	12
Bournmoor Primary School	102	15.3	26.8	33
Bowburn Junior School	162	15.3	30.6	18
Bowes Hutchinson's CofE (Aided) School	44	15.1	28.9	42
Brandon Primary School	346	14.2	28.5	20
Broom Cottages Primary School	326	12.5	26.0	36
Browney Primary School	82	15.2	28.1	27
Bullion Lane Primary School	316	13.9	28.6	16
Burnhope Primary School	86	13.5	26.9	30
Burnopfield Primary School	351	15.9	30.0	19
Byerley Park Primary School	218	15.1	28.4	9
Byers Green Primary School	88	15.3	28.5	17
Cassop Primary School	125	14.8	29.9	28
Castleside Primary School	108	15.2	27.6	31
Catchgate Primary School	276	15.7	30.4	22
Cestria Primary School	417	15.6	29.0	19
Chester-le-Street CofE (Controlled) Junior School	193	17.1	28.9	25
Chilton Primary School	339	13.7	27.4	53
Cleves Cross Primary School	206	16.0	29.8	25
Cockfield Primary School	114	13.7	28.5	33
Cockton Hill Junior School	241	16.5	28.2	18
Collierley Primary School	155	16.8	30.8	11
Consett Junior School	168	15.9	28.4	11
Copeland Road Primary School	137	14.2	26.9	49
Cotsford Junior School	129	12.9	27.5	62
Coxhoe Primary School	227	15.1	29.2	38
Crook Primary School	355	14.7	26.7	17
Deaf Hill Primary School	156	13.5	27.9	28
Dean Bank Primary and Nursery School	191	14.0	28.9	19
Delves Lane Junior School	139	13.8	27.3	27
Dene House Primary School	304	12.4	24.7	29
Durham Gilesgate Primary School	188	13.7	27.5	42
Easington CofE Primary School	120	15.6	27.8	6
Easington Colliery Primary School	440	16.3	27.8	41
East Stanley School	227	14.7	27.0	37
Ebchester CofE Primary School	69	13.7	29.4	42
Edmondsley Primary School	186	15.2	30.1	20
Escomb Primary School	189	15.2	29.3	23
Esh CofE (Aided) Primary School	93	17.0	30.5	0
Esh Winning Primary School	242	15.7	29.1	26
Etherley Lane Primary School	277	15.4	30.0	13
Evenwood CofE Primary School	78	15.3	28.7	14
Ferryhill Station Primary School	81	14.5	28.8	30
Finchale Primary School	163	17.0	31.6	36
Fishburn Primary School	211	14.9	27.7	57
Framwellgate Moor Primary School	272	15.4	30.4	29
Frosterley Community School	57	15.2	28.7	30
Gainford CofE Primary School	94	17.4	30.2	40
Green Lane Church of England Controlled Primary School	185	16.7	30.2	24
Greenland Community Primary School	218	14.5	29.3	15
The Grove Primary School	179	14.2	28.6	33
Hamsterley Primary School	27	14.3	28.3	17
Hartside Primary School	196	14.9	27.8	31
Hesleden Primary School	126	15.1	28.2	40
Howden-le-Wear Primary School	86	14.4	30.8	50
Howletch Lane Primary School	445	14.7	28.9	20
Hunwick Primary School	163	16.9	30.0	23
Hutton Henry CofE (Controlled) Primary School	46	14.7	27.8	30
Ingleton CofE Primary School	71	16.7	31.0	17
Kelloe Primary School	162	12.9	25.1	48
King Street Primary School	169	14.5	29.3	27
Kirk Merrington Primary School	81	17.6	30.2	30
Lanchester Endowed Parochial Primary School	348	15.8	29.6	18
Langley Moor Primary School	203	14.3	28.8	14
Langley Park Primary School	215	15.8	28.3	10
Laurel Avenue Community Primary School	118	14.3	26.6	27
Leadgate Community Junior School	93	15.5	30.2	28
Ludworth Primary School	85	13.7	27.5	10
Lumley Junior School	117	15.0	29.5	29
Middlestone Moor Primary School	255	14.8	26.2	46
Middleton-in-Teesdale Nursery and Primary School	141	16.1	27.7	23
Montalbo Primary School	117	17.5	29.6	0
Moorside Primary School	121	13.2	26.3	60
Nettlesworth Primary School	79	18.0	30.2	13
Neville's Cross Primary School	235	15.0	29.8	18
New Brancepeth Primary School	124	13.9	27.1	42
New Seaham Primary School	266	15.5	30.5	17
Newker Primary School	503	15.4	28.1	23
North Park Primary School	228	14.7	29.1	15
Oakley Cross Primary School and Nursery	168	13.3	26.4	64
Our Lady and St Joseph's Roman Catholic Voluntary Aided Primary School, Brooms	111	14.0	28.1	22
Our Lady and St Thomas Roman Catholic Voluntary Aided Primary	113	16.5	30.3	33
Our Lady of Lourdes Roman Catholic Voluntary Aided Primary	124	15.2	28.7	28
Our Lady of the Rosary Roman Catholic Voluntary Aided Primary	327	15.4	28.3	16
Our Lady Queen of Martyrs Roman Catholic Voluntary Aided Primary School, Newhouse	94	13.7	30.4	9
Our Lady Star of the Sea Roman Catholic Voluntary Aided Primary	101	13.4	25.0	44
Ouston Junior School	145	16.9	28.1	17
Ox Close Primary School	252	15.4	29.5	31
Peases West Primary School	130	15.0	28.3	22
Pelton Community Primary School	344	11.6	24.6	54
Pittington Primary School	207	15.3	28.3	22
Prince Bishops Community Primary School	179	14.8	29.5	36
Ramshaw Primary School	73	16.2	28.0	8
Red Rose Primary School	245	16.4	31.8	15
Ribbon Academy Trust	495	15.4	28.1	6
Ropery Walk Primary School	209	13.1	28.1	23
Rosa Street Primary School	247	15.7	28.6	23
Roseberry Primary and Nursery School	186	13.2	28.1	40
Sacriston Junior School	159	17.1	26.7	25
St Andrew's Primary School	121	14.6	27.1	27
St Anne's CofE Primary School	208	15.1	29.9	14
St Bede's Roman Catholic Voluntary Aided Primary School, Sacriston	79	15.2	27.6	24
St Benet's Roman Catholic Voluntary Aided Primary School	256	17.1	31.8	28
St Chad's Roman Catholic Voluntary Aided Primary School	90	14.4	25.7	22
St Charles' Roman Catholic Voluntary Aided Primary School	206	16.0	30.1	14
St Cuthberts Roman Catholic Voluntary Aided Primary School	224	15.7	28.6	12
St Cuthbert's Roman Catholic Voluntary Aided Primary School	194	17.0	30.7	4
St Cuthbert's Roman Catholic Voluntary Aided Primary School, New Seaham	192	15.5	29.9	41
St Francis Church of England Aided Junior School	127	16.8	30.3	11
St Godric's Roman Catholic Voluntary Aided Primary School, Durham	210	16.3	28.7	23
